script,ablation_name,seed,return_code,finished_at,duration_seconds,top1_cost,top1_nfev,top1_status,p,N_freq_fit,N_residual_dim,model_eval,residual_calls,objective_calls,T_fit_total,T_global,T_local,de_popsize,de_maxiter,n_starts,top_k,SSE_raw,RMSE_raw,AIC_raw,BIC_raw,n,gp_re_peak1_hz,gp_re_peak2_hz,gp_re_peak3_hz,gp_im_peak1_hz,gp_im_peak2_hz,gp_im_peak3_hz,gp_phase_peak1_hz,gp_phase_peak2_hz,gp_phase_peak3_hz,param_Csf,param_Csf0,param_Csw,param_Lad,param_Llr,param_Lls,param_Lm,param_Rcore,param_Rrs,param_Rsf,param_Rsw,param_nLls
ablation_de_only.py,DE only,4,0,2026-03-27T19:01:45,75.125,4691.93,34080,True,12,1590,3180,34081,34081,34080,18.704,18.589,0.0,20,160,,,54432000.0,130.832,31022.089,31094.864,3180,259000.0,39900.0,11900.0,18000.0,308000.0,34800.0,18300000.0,75800000.0,13000000.0,3.51372e-10,1.23407e-09,6.38139e-10,1.32949e-07,0.0135125,0.0324379,0.0222396,5402.14,2798.63,27.6857,14309.5,2.07259e-10
ablation_ga_ls.py,GA + LS,4,0,2026-03-27T19:03:10,85.172,2084.75,45,2,12,1590,3180,7786,7786,7320,1.785,1.456,0.204,10,60,120.0,10.0,133512000.0,204.902,33875.298,33948.073,3180,38600.0,483000.0,683000.0,436000.0,36000.0,4830.0,18300000.0,75800000.0,13000000.0,3.53466e-10,5.65969e-09,7.12275e-10,1.27597e-07,0.0585803,0.0292214,0.0302749,3475.57,903.916,27.4,13435.2,8.55055e-10
ablation_ls_only.py,LS only,4,0,2026-03-27T19:04:30,80.14,2084.75,68,2,12,1590,3180,693,693,0,0.405,0.0,0.281,10,60,120.0,10.0,133512000.0,204.902,33875.312,33948.088,3180,38600.0,483000.0,683000.0,436000.0,36000.0,4830.0,18300000.0,75800000.0,13000000.0,3.53466e-10,7.37938e-09,7.12277e-10,1.26673e-07,0.058568,0.0292213,0.0302785,3475.56,903.436,27.4,13435.2,1.78034e-09
ablation_no_freq_weights.py,No frequency weights,4,0,2026-03-27T19:06:00,90.172,1025.65,45,2,12,1590,3180,17293,17293,7440,8.698,1.414,7.148,10,60,120.0,10.0,43410000.0,116.837,30302.575,30375.35,3180,259000.0,31300.0,20700.0,34800.0,23800.0,308000.0,18300000.0,75800000.0,11700000.0,3.48331e-10,3.17472e-09,6.46361e-10,1.273e-07,0.0177431,0.0324585,0.0209496,5109.47,2800.0,27.4,14138.7,1.87338e-10
ablation_no_reim_scaling.py,No Re/Im separate scaling,4,0,2026-03-27T19:07:45,105.219,37674600.0,49,2,12,1590,3180,18415,18415,7440,22.479,1.374,20.971,10,60,120.0,10.0,52795100.0,128.85,30924.993,30997.769,3180,278000.0,38600.0,11900.0,34800.0,319000.0,17400.0,18300000.0,75800000.0,13000000.0,3.59752e-10,3.25863e-10,6.32627e-10,1.27545e-07,0.0141991,0.0322554,0.0222066,5944.26,2800.0,27.4,14170.5,2.7896e-10
CurVer.py,,5,0,2026-03-27T19:09:11,85.109,1540.1,40,2,12,1590,3180,17871,17871,7440,21.97,1.421,20.418,10,60,120.0,10.0,54506300.0,130.921,31026.426,31099.201,3180,234000.0,38600.0,11900.0,196000.0,34800.0,308000.0,18300000.0,75800000.0,11700000.0,3.46142e-10,1.37147e-09,6.33914e-10,1.29294e-07,0.0138019,0.0328823,0.0206863,5263.14,2800.0,27.4,14312.5,3.46593e-10
ablation_de_only.py,DE only,5,0,2026-03-27T19:10:36,85.172,90690.5,17520,True,12,1590,3180,17521,17521,17520,6.756,6.641,0.0,20,160,,,1167770000.0,605.99,40771.654,40844.429,3180,36000.0,17400.0,24600.0,39900.0,421000.0,27300.0,7710000.0,96600000.0,51800000.0,8.06075e-10,1.54618e-09,4.53568e-10,2.4685e-08,0.0602436,0.0153052,0.123558,19211.0,13.218,106.824,386.095,2.6293e-10
ablation_ga_ls.py,GA + LS,5,0,2026-03-27T19:12:01,85.125,7220.69,200,0,12,1590,3180,9273,9273,7320,2.508,1.368,1.02,10,60,120.0,10.0,1291210000.0,637.213,41091.183,41163.958,3180,467000.0,33600.0,1070000.0,36000.0,451000.0,25500.0,17700000.0,11300000.0,7980000.0,8.16626e-10,4.69488e-09,1.57608e-09,1.06412e-07,0.0911408,0.01138,0.068954,19798.7,118.263,35.1657,527.827,4.77939e-10
ablation_ls_only.py,LS only,5,0,2026-03-27T19:13:21,80.094,2084.75,68,2,12,1590,3180,693,693,0,0.42,0.0,0.294,10,60,120.0,10.0,133512000.0,204.902,33875.312,33948.088,3180,38600.0,483000.0,683000.0,436000.0,36000.0,4830.0,18300000.0,75800000.0,13000000.0,3.53466e-10,7.37938e-09,7.12277e-10,1.26673e-07,0.058568,0.0292213,0.0302785,3475.56,903.436,27.4,13435.2,1.78034e-09
ablation_no_freq_weights.py,No frequency weights,5,0,2026-03-27T19:15:01,100.187,1025.65,39,2,12,1590,3180,13434,13434,7440,12.056,1.409,10.515,10,60,120.0,10.0,43410100.0,116.837,30302.579,30375.355,3180,259000.0,31300.0,20700.0,34800.0,23800.0,308000.0,18300000.0,75800000.0,11700000.0,3.48331e-10,7.38023e-11,6.46359e-10,1.25697e-07,0.0177428,0.0324585,0.0209496,5109.51,2800.0,27.4,14138.7,1.77943e-09
